'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
1.08246,0.725723,0.206422,1.31768,0.882769,0.599526,0.835711,0.30776,-0.681101,1.75367,0.633236,0.405374
1.06119,0.739606,0.209573,1.32896,0.888266,0.613926,0.836644,0.300907,-0.690108,1.74608,0.627316,0.394125
1.05962,0.722054,0.181904,1.30595,0.881476,0.591075,0.83893,0.284523,-0.711577,1.74182,0.620919,0.383191
1.05344,0.729961,0.188479,1.30118,0.86598,0.565148,0.853406,0.273271,-0.709146,1.73978,0.637728,0.407763
1.04829,0.718213,0.166397,1.28604,0.8793,0.576487,0.867482,0.271412,-0.693777,1.75561,0.626311,0.395586
1.07221,0.700637,0.16036,1.28375,0.87899,0.574699,0.871589,0.280575,-0.674842,1.75529,0.629494,0.400262
1.06622,0.708041,0.166458,1.2811,0.887782,0.586348,0.870153,0.274558,-0.685677,1.75584,0.632225,0.404529
1.06622,0.708041,0.166458,1.2811,0.887782,0.586348,0.870153,0.274558,-0.685677,1.75584,0.632225,0.404529
1.08029,0.690844,0.152326,1.27666,0.887659,0.58357,0.873105,0.27545,-0.680628,1.72564,0.629604,0.391078
1.07648,0.697946,0.159851,1.25854,0.893225,0.581149,0.87434,0.272279,-0.68384,1.7272,0.627258,0.388059
1.0798,0.68224,0.139022,1.28179,0.873687,0.565603,0.871268,0.277482,-0.679885,1.72191,0.634889,0.397808
1.06512,0.692022,0.141508,1.26582,0.876997,0.561172,0.871501,0.275546,-0.682497,1.72497,0.620829,0.3777
1.08068,0.696201,0.160684,1.27046,0.872688,0.557462,0.870606,0.263302,-0.701992,1.68854,0.632174,0.382772
1.08068,0.696201,0.160684,1.27046,0.872688,0.557462,0.870606,0.263302,-0.701992,1.68854,0.632174,0.382772
1.06135,0.699728,0.149878,1.26472,0.871664,0.552516,0.858873,0.258908,-0.723569,1.69128,0.616526,0.360215
1.06135,0.699728,0.149878,1.26472,0.871664,0.552516,0.858873,0.258908,-0.723569,1.69128,0.616526,0.360215
1.06889,0.693942,0.147549,1.27234,0.867443,0.550705,0.856944,0.275557,-0.701096,1.68889,0.614898,0.356974
1.07142,0.686256,0.138126,1.31189,0.848396,0.544757,0.858842,0.283358,-0.686931,1.67521,0.633299,0.379962
1.08151,0.68335,0.142086,1.31946,0.841318,0.538314,0.870669,0.271394,-0.689773,1.67239,0.636933,0.384451
1.05708,0.689635,0.131101,1.30425,0.851609,0.545315,0.874142,0.248587,-0.71963,1.68684,0.634886,0.386273
1.05708,0.689635,0.131101,1.30425,0.851609,0.545315,0.874142,0.248587,-0.71963,1.68684,0.634886,0.386273
1.05708,0.689635,0.131101,1.30425,0.851609,0.545315,0.874142,0.248587,-0.71963,1.68684,0.634886,0.386273
1.05784,0.686693,0.127341,1.31322,0.868751,0.576032,0.864483,0.253957,-0.723781,1.69315,0.625928,0.374944
1.03338,0.701417,0.12806,1.32903,0.853424,0.561689,0.878925,0.247483,-0.715341,1.68231,0.625406,0.370528
1.03326,0.695427,0.118965,1.33794,0.853372,0.566398,0.860847,0.227486,-0.768159,1.67721,0.629666,0.375192
1.02417,0.703606,0.123028,1.35313,0.853815,0.575076,0.855241,0.237516,-0.760384,1.67031,0.623991,0.364324
1.04356,0.708025,0.146987,1.35921,0.839078,0.556125,0.857363,0.241917,-0.751019,1.66242,0.646246,0.394998
1.0312,0.722081,0.157104,1.37361,0.836684,0.5599,0.864506,0.220177,-0.774428,1.66044,0.640731,0.386039
1.03477,0.70851,0.139943,1.36626,0.837265,0.557032,0.857716,0.229944,-0.768523,1.6533,0.633673,0.372966
1.03477,0.70851,0.139943,1.36626,0.837265,0.557032,0.857716,0.229944,-0.768523,1.6533,0.633673,0.372966
1.02858,0.711749,0.139241,1.35615,0.836771,0.551079,0.863976,0.234031,-0.754322,1.65379,0.630285,0.368054
1.01223,0.705075,0.114233,1.33225,0.836312,0.537756,0.854957,0.249816,-0.742303,1.64811,0.62555,0.358962
0.988962,0.729765,0.129076,1.33087,0.835138,0.53525,0.835952,0.257573,-0.756063,1.67023,0.627398,0.36941
1.01715,0.716547,0.136009,1.34693,0.828668,0.534102,0.846732,0.26354,-0.732565,1.66445,0.622233,0.359675
0.988529,0.735874,0.137818,1.36132,0.826501,0.538347,0.854044,0.26024,-0.727858,1.68003,0.624625,0.368583
0.977414,0.751205,0.149831,1.35757,0.850962,0.573104,0.835958,0.307009,-0.681891,1.7177,0.625922,0.382996
0.973988,0.744067,0.135685,1.34322,0.862932,0.583548,0.848913,0.289004,-0.691467,1.72145,0.620135,0.375527
0.978495,0.743585,0.139478,1.34384,0.866981,0.589951,0.844173,0.293302,-0.691336,1.74007,0.625647,0.389731
0.975022,0.749788,0.145308,1.35053,0.862956,0.587429,0.852323,0.30465,-0.663494,1.72141,0.627583,0.386688
0.973212,0.738722,0.126886,1.33696,0.856911,0.571187,0.842477,0.309336,-0.669559,1.72299,0.632582,0.394695
0.98195,0.741528,0.139827,1.34279,0.854738,0.571025,0.854189,0.312843,-0.648755,1.73436,0.619498,0.378701
0.971218,0.735542,0.120099,1.34654,0.866894,0.591243,0.840736,0.332517,-0.637132,1.73263,0.610896,0.365247
