'uu_width','ud_width','us_width','ss_width'
0.799102, 0.213621, 0.932889, 1.03057
0.79142, 0.296056, 0.960764, 0.929261
0.70449, 0.393461, 0.919571, 0.981404
0.850789, 0.323405, 1.03894, 1.02091
0.725017, 0.366174, 0.965058, 0.971689
0.718883, 0.519054, 0.934032, 0.94183
0.704501, 0.520987, 0.933861, 0.893629
0.6851, 0.819911, 0.99181, 0.911597
0.611993, 0.628671, 0.883642, 0.816788
0.63129, 0.63364, 0.908232, 0.835845
0.776435, 0.709651, 0.910202, 0.914766
0.728787, 0.666702, 0.885078, 0.89106
0.680737, 0.728553, 1.03259, 0.847303
0.652925, 0.738167, 0.968731, 0.991532
0.562921, 0.762157, 0.873769, 0.998309
0.608781, 0.80217, 0.840151, 0.983312
0.581062, 0.780176, 0.720405, 1.02085
0.581062, 0.780176, 0.720405, 1.02085
0.56332, 0.76065, 0.724971, 1.06893
0.557228, 0.91053, 0.908653, 1.01758
0.672042, 0.886987, 1.00414, 0.946675
0.718577, 0.722165, 1.03805, 0.88178
0.71758, 0.830714, 0.953808, 0.963869
0.583101, 0.904409, 0.951402, 0.991746
0.538591, 0.960231, 0.933855, 0.967201
0.668648, 0.882141, 0.922553, 0.993889
0.597629, 0.920631, 0.951309, 1.0164
0.568043, 0.983893, 0.954963, 1.0121
0.61126, 0.999533, 0.896832, 1.02577
0.594002, 1.04657, 0.890614, 1.03146
0.598859, 1.08774, 0.987729, 1.06445
0.621394, 1.17462, 0.995706, 0.992884
0.641309, 1.15665, 1.01832, 1.01331
0.613854, 1.17587, 0.991634, 0.99927
0.603138, 1.13041, 1.04758, 0.992792
0.611553, 1.14542, 1.08458, 1.01092
0.611553, 1.14542, 1.08458, 1.01092
0.686222, 1.17598, 1.07742, 0.904736
0.583671, 1.2035, 1.15852, 0.964322
0.561576, 1.12516, 1.11911, 0.909582
0.561576, 1.12516, 1.11911, 0.909582
0.574476, 1.11629, 1.12846, 0.816578
0.576589, 1.18013, 1.20749, 0.835099
0.527397, 1.25553, 1.09689, 0.95095
0.637596, 1.21773, 0.975923, 1.11033
0.554856, 1.32493, 1.01506, 1.06934
0.503416, 1.2982, 0.961873, 0.978183
0.509734, 1.23983, 0.994566, 0.964448
0.628658, 1.35092, 1.03246, 1.08854
0.583753, 1.4469, 0.992951, 1.05382
0.696956, 1.42316, 1.10169, 1.02375
0.550367, 1.23728, 1.04887, 1.01423
0.616905, 1.32978, 0.993648, 0.998368
0.589286, 1.34775, 0.937196, 1.09506
0.576288, 1.32425, 0.882036, 1.08944
0.539163, 1.32667, 1.02374, 1.03892
0.590674, 1.28082, 1.05339, 1.07493
0.690064, 1.24272, 1.01137, 1.06601
0.545945, 1.27941, 1.0214, 1.01447
0.542561, 1.18342, 1.1069, 0.940452
0.58005, 1.091, 1.13034, 0.841729
0.57541, 1.1758, 1.08197, 0.901368
0.57541, 1.1758, 1.08197, 0.901368
0.571832, 1.28836, 1.03366, 0.97502
0.678506, 1.31694, 1.02354, 1.03683
0.677754, 1.3566, 1.11828, 0.994113
0.677754, 1.3566, 1.11828, 0.994113
0.643891, 1.302, 1.09618, 0.98766
0.650552, 1.4005, 1.10839, 0.972457
0.650552, 1.4005, 1.10839, 0.972457
0.662603, 1.44976, 1.13824, 0.999547
0.717844, 1.28751, 1.21208, 0.902809
0.665628, 1.30281, 1.13018, 0.88174
0.60348, 1.25641, 1.10929, 0.949326
0.542402, 1.36722, 1.00107, 0.964304
0.542151, 1.33738, 1.06009, 0.994153
0.612826, 1.49233, 1.10684, 0.954752
0.614987, 1.47206, 1.07831, 0.990412
0.571437, 1.3671, 0.989993, 1.09537
0.597791, 1.3358, 1.09105, 1.03303
0.555267, 1.46614, 1.01735, 1.08085
0.558293, 1.43645, 0.965332, 0.986017
0.604327, 1.40752, 1.21827, 0.932101
0.604327, 1.40752, 1.21827, 0.932101
0.647852, 1.0543, 0.890829, 1.00529
0.58157, 1.04985, 0.878355, 0.896219
0.589156, 0.989812, 0.925508, 0.827102
0.54018, 0.885823, 0.99301, 0.730759
0.547374, 0.910642, 0.941372, 0.922593
0.567678, 0.961334, 0.936235, 0.964106
0.560697, 1.00103, 0.966822, 0.972723
0.518392, 0.942605, 1.00344, 0.93941
0.552275, 0.968425, 0.963245, 0.843209
0.531798, 0.984268, 0.930513, 0.908962
0.531798, 0.984268, 0.930513, 0.908962
0.528667, 1.0033, 0.999346, 0.940082
0.555173, 1.00278, 0.914166, 1.0127
0.555173, 1.00278, 0.914166, 1.0127
0.679512, 0.863374, 0.983555, 0.979604
0.622785, 0.861376, 1.0108, 0.848207
0.638213, 0.913562, 1.07239, 0.947999
0.593728, 0.697487, 0.854636, 0.953214
0.558827, 0.707328, 0.837663, 0.926169
0.628326, 0.751122, 0.90796, 0.890964
0.725173, 0.611943, 0.961512, 0.875344
0.660088, 0.647818, 0.862392, 0.924797
0.660088, 0.647818, 0.862392, 0.924797
0.721924, 0.888974, 0.959137, 0.979906
0.559623, 1.14187, 0.961373, 0.910621
0.641106, 0.966194, 0.948681, 0.952661
0.641106, 0.966194, 0.948681, 0.952661
0.609437, 1.11611, 0.99176, 1.0132
0.552428, 1.05916, 0.938381, 0.943772
0.552428, 1.05916, 0.938381, 0.943772
0.572008, 1.01609, 0.916581, 0.963871
0.565081, 1.0763, 0.905381, 0.983214
0.598132, 1.10654, 0.941379, 1.01984
0.598132, 1.10654, 0.941379, 1.01984
0.527307, 1.20647, 1.03135, 0.899578
0.535669, 1.28099, 1.06315, 0.796549
0.520666, 1.26382, 1.08582, 0.790974
0.520666, 1.26382, 1.08582, 0.790974
0.539104, 1.18687, 1.06366, 0.806068
0.609286, 1.21955, 1.08783, 0.960527
0.576579, 1.20177, 1.09506, 0.846396
0.576579, 1.20177, 1.09506, 0.846396
0.544993, 1.01981, 1.12878, 0.818024
0.552683, 0.943108, 1.03198, 0.869785
0.642974, 0.93148, 1.02091, 1.00368
0.747955, 0.769116, 0.970378, 0.950597
0.63915, 0.77207, 0.960267, 0.915433
0.605779, 0.695721, 0.891309, 0.93992
0.605779, 0.695721, 0.891309, 0.93992
0.593955, 0.665562, 0.86655, 0.840506
0.603766, 0.826514, 0.946707, 0.842536
0.657873, 0.807396, 1.04836, 0.895921
0.606604, 0.727143, 0.934391, 0.875704
0.709612, 0.77339, 0.892584, 0.944501
0.679205, 0.787765, 0.938224, 0.920188
0.793611, 0.922438, 0.899891, 0.98722
0.690462, 0.810577, 0.822216, 1.0456
0.753201, 0.818402, 0.905964, 0.986406
0.682284, 0.927173, 0.942142, 0.952838
0.57274, 0.986749, 0.960871, 0.916266
0.582804, 1.06336, 1.03961, 0.886197
0.59763, 1.14426, 0.857566, 0.979482
0.567734, 1.09867, 0.868296, 1.13898
0.518671, 1.05558, 0.821849, 1.08831
0.578894, 0.986593, 0.794743, 1.03119
