! ptbar_pion= 0.4069  ptbar_kaon= 0.6933  ptbar_proton= 0.9841
!   mt      pions       kaons      protons
1.0125  5.555e+00  8.451e-01  7.286e-01
1.0375  5.187e+00  7.793e-01  6.770e-01
1.0625  4.588e+00  7.156e-01  6.322e-01
1.0875  4.170e+00  6.603e-01  6.053e-01
1.1125  3.798e+00  6.210e-01  5.481e-01
1.1375  3.494e+00  5.652e-01  5.063e-01
1.1625  3.170e+00  5.172e-01  4.611e-01
1.1875  2.861e+00  4.619e-01  4.297e-01
1.2125  2.628e+00  4.331e-01  4.053e-01
1.2375  2.412e+00  3.950e-01  3.700e-01
1.2625  2.181e+00  3.713e-01  3.499e-01
1.2875  2.014e+00  3.371e-01  3.143e-01
1.3125  1.836e+00  3.162e-01  2.985e-01
1.3375  1.665e+00  2.833e-01  2.739e-01
1.3625  1.541e+00  2.621e-01  2.534e-01
1.3875  1.384e+00  2.509e-01  2.326e-01
1.4125  1.283e+00  2.243e-01  2.207e-01
1.4375  1.186e+00  2.100e-01  2.081e-01
1.4625  1.102e+00  1.895e-01  1.882e-01
1.4875  9.824e-01  1.773e-01  1.697e-01
1.5125  9.031e-01  1.621e-01  1.631e-01
1.5375  8.421e-01  1.513e-01  1.482e-01
1.5625  7.610e-01  1.419e-01  1.390e-01
1.5875  7.174e-01  1.322e-01  1.275e-01
1.6125  6.309e-01  1.220e-01  1.183e-01
1.6375  5.975e-01  1.118e-01  1.129e-01
1.6625  5.344e-01  1.038e-01  1.044e-01
1.6875  5.055e-01  9.293e-02  9.331e-02
1.7125  4.745e-01  8.670e-02  9.099e-02
1.7375  4.288e-01  8.683e-02  7.986e-02
1.7625  3.811e-01  7.487e-02  7.638e-02
1.7875  3.593e-01  6.885e-02  7.158e-02
1.8125  3.336e-01  6.975e-02  6.271e-02
1.8375  2.973e-01  6.104e-02  6.239e-02
1.8625  2.763e-01  5.764e-02  5.552e-02
1.8875  2.606e-01  5.064e-02  5.693e-02
1.9125  2.418e-01  4.575e-02  5.110e-02
1.9375  2.208e-01  4.187e-02  4.295e-02
1.9625  2.105e-01  4.026e-02  4.320e-02
1.9875  1.972e-01  3.949e-02  3.541e-02
2.0125  1.716e-01  3.508e-02  3.427e-02
2.0375  1.554e-01  3.306e-02  3.173e-02
2.0625  1.570e-01  3.125e-02  3.139e-02
2.0875  1.411e-01  2.947e-02  2.825e-02
2.1125  1.307e-01  2.404e-02  2.670e-02
2.1375  1.197e-01  2.304e-02  2.510e-02
2.1625  1.091e-01  2.468e-02  2.396e-02
2.1875  1.013e-01  2.144e-02  2.105e-02
2.2125  9.513e-02  1.910e-02  1.839e-02
2.2375  8.823e-02  1.753e-02  1.930e-02
2.2625  8.545e-02  1.908e-02  1.594e-02
2.2875  6.822e-02  1.593e-02  1.672e-02
2.3125  6.777e-02  1.379e-02  1.556e-02
2.3375  6.203e-02  1.249e-02  1.298e-02
2.3625  5.735e-02  1.418e-02  1.329e-02
2.3875  5.749e-02  1.072e-02  1.366e-02
2.4125  5.494e-02  1.047e-02  1.115e-02
2.4375  5.013e-02  1.015e-02  1.087e-02
2.4625  3.944e-02  7.417e-03  9.474e-03
2.4875  4.145e-02  8.555e-03  9.275e-03
2.5125  3.825e-02  8.410e-03  8.559e-03
2.5375  3.756e-02  8.414e-03  8.111e-03
2.5625  3.577e-02  6.808e-03  6.967e-03
2.5875  3.019e-02  7.261e-03  6.727e-03
2.6125  2.396e-02  5.402e-03  6.869e-03
2.6375  2.901e-02  5.931e-03  5.757e-03
2.6625  2.523e-02  5.813e-03  4.474e-03
2.6875  2.195e-02  4.009e-03  4.999e-03
2.7125  2.134e-02  3.978e-03  4.719e-03
2.7375  2.084e-02  4.778e-03  4.018e-03
2.7625  1.861e-02  3.367e-03  5.139e-03
2.7875  1.508e-02  4.500e-03  3.844e-03
2.8125  1.637e-02  3.113e-03  3.639e-03
2.8375  1.563e-02  4.164e-03  3.081e-03
2.8625  1.242e-02  2.200e-03  3.473e-03
2.8875  1.133e-02  2.581e-03  2.924e-03
2.9125  9.677e-03  2.759e-03  3.080e-03
2.9375  1.125e-02  2.152e-03  3.175e-03
2.9625  9.617e-03  1.424e-03  2.352e-03
2.9875  1.135e-02  1.414e-03  1.938e-03
3.0125  7.666e-03  1.723e-03  2.265e-03
3.0375  7.606e-03  1.584e-03  1.238e-03
3.0625  6.615e-03  2.831e-03  1.790e-03
3.0875  8.505e-03  1.624e-03  1.612e-03
3.1125  7.155e-03  9.927e-04  1.436e-03
3.1375  6.373e-03  1.725e-03  1.537e-03
3.1625  5.330e-03  9.791e-04  1.473e-03
3.1875  5.201e-03  1.094e-03  1.790e-03
3.2125  4.005e-03  6.640e-04  1.240e-03
3.2375  4.417e-03  1.079e-03  1.018e-03
3.2625  4.034e-03  4.169e-04  1.172e-03
3.2875  2.873e-03  7.692e-04  5.824e-04
3.3125  3.543e-03  7.642e-04  8.422e-04
3.3375  2.831e-03  9.928e-04  1.204e-03
3.3625  2.385e-03  4.061e-04  7.284e-04
3.3875  2.453e-03  8.070e-04  1.086e-03
3.4125  2.436e-03  5.155e-04  6.171e-04
3.4375  2.252e-03  5.691e-04  6.647e-04
3.4625  2.650e-03  5.655e-04  5.593e-04
3.4875  2.385e-03  5.058e-04  6.067e-04
3.5125  2.124e-03  6.143e-04  1.508e-04
3.5375  1.947e-03  4.440e-04  3.999e-04
3.5625  1.773e-03  3.310e-04  5.966e-04
3.5875  1.761e-03  3.289e-04  4.450e-04
3.6125  9.541e-04  2.179e-04  4.425e-04
3.6375  1.106e-03  2.708e-04  4.401e-04
3.6625  1.412e-03  2.153e-04  3.891e-04
3.6875  1.481e-03  2.676e-04  4.353e-04
3.7125  1.084e-03  3.192e-04  1.443e-04
3.7375  9.234e-04  1.586e-04  1.914e-04
3.7625  1.376e-03  1.577e-04  9.520e-05
3.7875  8.357e-04  2.090e-04  2.367e-04
3.8125  1.057e-03  3.637e-04  1.413e-04
3.8375  7.501e-04  3.616e-04  2.343e-04
3.8625  5.964e-04  2.568e-04  1.398e-04
3.8875  6.667e-04  2.043e-04  1.855e-04
3.9125  6.626e-04  1.016e-04  9.225e-05
3.9375  4.390e-04  1.515e-04  3.212e-04
3.9625  4.364e-04  2.008e-04  9.131e-05
3.9875  5.783e-04  9.986e-05  1.817e-04
