'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3'
0.852863,0.125288,0.782846,0.408731,0.454496,0.464011,0.156707,0.727009,0.699352,0.197176,0.24652,0.228953,0.452718,0.107562,0.554653,0.698007,0.228504,0.869573,0.751611,0.26376
0.87242,0.120559,0.772013,0.439755,0.431554,0.448291,0.159777,0.735793,0.69838,0.183749,0.252095,0.253449,0.446061,0.123457,0.547263,0.686807,0.292644,0.87438,0.74641,0.271638
0.865322,0.103223,0.789119,0.441294,0.427896,0.456924,0.166076,0.71032,0.686887,0.16269,0.25613,0.22523,0.464521,0.100079,0.552206,0.692569,0.270213,0.862922,0.769667,0.262321
0.860563,0.080781,0.807538,0.467406,0.426332,0.412596,0.180858,0.675824,0.636913,0.165868,0.237659,0.255631,0.49851,0.150405,0.5354,0.71507,0.266618,0.883799,0.747838,0.220341
0.855706,0.114684,0.808766,0.429575,0.405427,0.415367,0.195639,0.680833,0.625717,0.186036,0.252848,0.248033,0.510327,0.129107,0.535304,0.726089,0.306331,0.84513,0.733344,0.219591
0.863655,0.0959234,0.811517,0.426072,0.413202,0.436114,0.192264,0.67919,0.637457,0.19608,0.264276,0.265695,0.514637,0.11949,0.551776,0.700925,0.303705,0.853097,0.73564,0.222385
0.867587,0.0971253,0.799648,0.399915,0.431023,0.433969,0.184035,0.668851,0.64416,0.169961,0.264942,0.236151,0.473406,0.168926,0.545007,0.690063,0.315655,0.81962,0.746644,0.220509
0.868054,0.0913214,0.783302,0.401782,0.423497,0.426357,0.169851,0.693237,0.660575,0.166853,0.280336,0.249831,0.500005,0.169701,0.543246,0.69285,0.305956,0.824904,0.72786,0.194553
0.883805,0.145187,0.791575,0.362784,0.429575,0.41922,0.185965,0.680497,0.646492,0.154704,0.303987,0.273624,0.488495,0.155337,0.562089,0.70912,0.299121,0.803293,0.743926,0.207923
0.882479,0.174036,0.797597,0.369228,0.414374,0.430182,0.187475,0.668718,0.662937,0.173834,0.303871,0.265255,0.488066,0.170408,0.559822,0.725154,0.301807,0.806539,0.724859,0.189512
0.907376,0.156428,0.793191,0.37646,0.405641,0.445387,0.179207,0.670306,0.656537,0.186503,0.282404,0.266848,0.499729,0.150162,0.534759,0.713557,0.278742,0.795667,0.698708,0.197171
0.921312,0.158656,0.78291,0.376251,0.421605,0.46729,0.180495,0.725869,0.676851,0.180215,0.293158,0.254872,0.51272,0.152019,0.537326,0.752642,0.237583,0.79396,0.685144,0.181468
0.923013,0.138792,0.782102,0.402154,0.437528,0.472418,0.177456,0.760123,0.68514,0.165499,0.284977,0.238204,0.533443,0.140775,0.521653,0.756627,0.253827,0.749074,0.674407,0.184748
