'uu_width','ud_width','us_width','ss_width'
0.782381, 0.259501, 0.917218, 0.917941
0.806096, 0.268477, 0.932735, 0.902479
0.814742, 0.291938, 1.01079, 0.834414
0.814742, 0.291938, 1.01079, 0.834414
0.822025, 0.292891, 1.0186, 0.881704
0.897892, 0.274393, 1.00113, 0.914394
0.790543, 0.207739, 0.88079, 0.933478
0.721722, 0.262435, 0.876698, 0.899464
0.740834, 0.229258, 0.888783, 0.919784
0.717447, 0.260965, 0.8817, 0.925248
0.770232, 0.172698, 0.850976, 1.03881
0.743083, 0.17245, 0.776378, 0.992284
0.798304, 0.205906, 0.859056, 1.01005
0.753519, 0.245513, 0.8261, 0.989231
0.76877, 0.268613, 0.800816, 0.933251
0.677843, 0.15522, 0.814107, 0.890601
0.677843, 0.15522, 0.814107, 0.890601
0.727481, 0.191058, 0.815735, 0.949125
0.727481, 0.191058, 0.815735, 0.949125
0.727481, 0.191058, 0.815735, 0.949125
0.65585, 0.280251, 0.843546, 0.839879
0.723619, 0.296429, 0.892837, 0.832026
0.871137, 0.299436, 0.919216, 0.863713
0.834146, 0.344683, 0.921335, 0.946439
0.930736, 0.229476, 1.16358, 0.819153
0.929991, 0.266991, 1.13418, 0.839912
0.96026, 0.20515, 1.15283, 0.823739
0.97452, 0.294175, 1.24745, 0.818248
0.875748, 0.13385, 1.18965, 0.820093
0.901703, 0.167751, 1.05619, 0.892767
0.904889, 0.178493, 1.0954, 0.92347
0.904889, 0.178493, 1.0954, 0.92347
1.05852, 0.213852, 1.19333, 1.01873
1.01716, 0.273867, 1.47624, 1.05799
1.0576, 0.195588, 1.39195, 0.952876
1.03483, 0.11109, 1.37007, 0.96365
1.05401, 0.230856, 1.3481, 0.976154
1.01774, 0.171653, 1.32469, 0.957492
0.964952, 0.270523, 1.3308, 0.921263
1.07197, 0.199102, 1.3396, 0.90156
1.01608, 0.269828, 1.37517, 0.911815
1.05235, 0.279212, 1.3735, 0.878969
1.05608, 0.179275, 1.37956, 0.999145
1.04834, 0.126059, 1.37076, 1.02543
0.867815, 0.235445, 1.15732, 0.789223
0.8981, 0.313827, 1.11984, 0.858671
0.835066, 0.309782, 1.06785, 0.894536
0.883335, 0.339302, 1.07415, 0.922143
0.884239, 0.106992, 1.03795, 0.929082
0.857617, 0.155238, 0.999252, 0.968388
0.880877, 0.195354, 0.976, 0.956297
0.880877, 0.195354, 0.976, 0.956297
0.834234, 0.215549, 0.899489, 1.04268
0.756006, 0.163223, 0.912368, 0.927763
0.71019, 0.199723, 0.91169, 0.811257
0.678582, 0.305121, 0.878311, 0.8251
0.7266, 0.363636, 0.997391, 0.79704
0.755646, 0.324761, 1.00325, 0.791342
0.805953, 0.286045, 1.01806, 0.84551
0.825707, 0.286874, 0.989351, 0.85095
0.78625, 0.256122, 0.997475, 0.839906
0.845997, 0.221083, 1.02252, 0.859667
0.845997, 0.221083, 1.02252, 0.859667
0.845997, 0.221083, 1.02252, 0.859667
0.845978, 0.122423, 1.02337, 0.873609
0.774921, 0.102961, 0.977478, 0.864427
0.774921, 0.102961, 0.977478, 0.864427
0.795389, 0.189136, 0.966115, 0.842157
0.75199, 0.209548, 0.945709, 0.885431
0.830969, 0.292063, 0.974369, 0.842897
0.807529, 0.311755, 1.01795, 0.800082
0.807529, 0.311755, 1.01795, 0.800082
0.807529, 0.311755, 1.01795, 0.800082
0.807529, 0.311755, 1.01795, 0.800082
0.922209, 0.256248, 1.09895, 0.888797
0.84593, 0.302705, 1.03325, 0.878765
0.804266, 0.248116, 0.968837, 0.912006
0.841389, 0.270214, 1.05275, 0.845509
0.867656, 0.253164, 1.04263, 0.831067
0.894353, 0.264854, 1.03173, 0.855364
0.949418, 0.248825, 1.10335, 0.862492
0.826368, 0.194863, 1.023, 0.778373
0.815456, 0.210192, 0.938719, 0.949242
0.815797, 0.11818, 1.02343, 0.87689
0.815797, 0.11818, 1.02343, 0.87689
0.843142, 0.145542, 1.02708, 0.875348
0.760482, 0.222797, 0.992613, 0.842311
0.805774, 0.136476, 1.08417, 0.812796
0.805774, 0.136476, 1.08417, 0.812796
0.805774, 0.136476, 1.08417, 0.812796
0.870413, 0.140916, 1.11277, 0.87988
0.867925, 0.230399, 1.02663, 0.890692
0.809327, 0.190594, 0.916022, 0.903682
0.867327, 0.175214, 0.931591, 1.02259
0.836951, 0.161832, 0.902793, 0.957417
0.714288, 0.179611, 0.879561, 0.846503
0.743978, 0.145294, 0.88559, 0.915827
0.78639, 0.278456, 0.840235, 0.917683
0.865013, 0.193252, 0.971777, 0.966676
0.848243, 0.258352, 0.972268, 0.885409
0.884504, 0.262586, 1.15212, 0.83369
0.881974, 0.228352, 1.15147, 0.823652
0.98543, 0.171527, 1.23089, 0.915339
0.98543, 0.171527, 1.23089, 0.915339
0.98543, 0.171527, 1.23089, 0.915339
1.03276, 0.170708, 1.3303, 0.899318
1.06386, 0.134816, 1.32204, 0.921014
1.03366, 0.257165, 1.27659, 0.905376
1.07069, 0.125095, 1.48554, 0.992973
1.07069, 0.125095, 1.48554, 0.992973
1.02476, 0.136472, 1.43385, 1.05738
1.02476, 0.136472, 1.43385, 1.05738
0.984934, 0.125687, 1.49399, 1.0446
0.984934, 0.125687, 1.49399, 1.0446
0.984934, 0.125687, 1.49399, 1.0446
1.03486, 0.116206, 1.4248, 0.945596
0.996522, 0.172486, 1.35796, 1.02762
0.930905, 0.152945, 1.30444, 0.947607
0.950879, 0.260611, 1.26635, 0.894159
0.991499, 0.242059, 1.08583, 0.957207
0.997126, 0.150064, 1.10939, 1.00294
0.997126, 0.150064, 1.10939, 1.00294
0.993785, 0.13623, 1.09238, 1.03014
0.982543, 0.131661, 1.05503, 1.00928
0.910079, 0.225774, 0.948983, 1.04431
0.876886, 0.230995, 0.876828, 1.00022
0.876886, 0.230995, 0.876828, 1.00022
0.807491, 0.222559, 0.910057, 1.02902
0.87409, 0.200071, 0.95719, 1.05439
0.882487, 0.174668, 0.996331, 0.873959
0.816472, 0.114306, 1.0131, 0.98475
0.816472, 0.114306, 1.0131, 0.98475
0.844443, 0.118736, 1.03583, 0.967094
0.834095, 0.129081, 0.940184, 0.955984
0.859045, 0.168047, 0.991021, 0.871834
0.861723, 0.126569, 1.04902, 0.969065
0.87856, 0.200992, 1.01445, 0.989821
0.840837, 0.119164, 1.06348, 0.967224
0.840837, 0.119164, 1.06348, 0.967224
0.908039, 0.167907, 1.08319, 0.930125
0.908039, 0.167907, 1.08319, 0.930125
0.738678, 0.170174, 0.938363, 0.911584
0.779707, 0.230626, 0.947771, 0.924416
0.833344, 0.261986, 0.984456, 0.931483
0.842767, 0.206939, 0.918195, 0.959725
0.841893, 0.21058, 0.959979, 0.943353
0.85247, 0.296831, 0.963688, 0.90592
0.85247, 0.296831, 0.963688, 0.90592
0.826767, 0.331903, 0.945777, 0.908763
0.872114, 0.268857, 0.919303, 0.994895
0.877546, 0.158595, 0.933005, 1.03093
0.85006, 0.165227, 0.936087, 0.95147
0.733222, 0.240366, 0.87929, 0.911003
0.844206, 0.379211, 0.86525, 0.967309
0.817852, 0.341842, 0.929757, 0.915382
0.821582, 0.388137, 0.860331, 0.956848
0.927758, 0.249777, 0.985323, 0.975441
0.850913, 0.250283, 0.841721, 1.05488
0.854031, 0.235553, 0.838544, 1.0154
0.821478, 0.340662, 0.890551, 0.932354
0.794202, 0.29861, 0.858014, 0.900359
0.781464, 0.26272, 0.888049, 0.986663
0.788803, 0.230309, 0.858876, 1.00958
0.873441, 0.256253, 0.944502, 1.05257
0.839526, 0.136382, 0.937292, 1.08112
0.862652, 0.119357, 0.991227, 1.06456
0.862652, 0.119357, 0.991227, 1.06456
0.943329, 0.116862, 0.971886, 1.06441
0.94059, 0.198772, 0.981501, 1.04407
0.935806, 0.125969, 0.996847, 1.08205
0.95855, 0.117942, 1.01579, 1.02885
0.952105, 0.124178, 1.02572, 1.10715
0.918815, 0.127059, 1.04278, 1.12411
1.06182, 0.184526, 1.1249, 1.01365
1.01528, 0.210308, 1.12141, 0.998596
1.0467, 0.214858, 1.14481, 1.04233
1.02399, 0.167866, 1.14288, 1.01148
1.04344, 0.139513, 1.1751, 0.991655
1.03451, 0.15872, 1.24823, 0.961178
1.01696, 0.243493, 1.28504, 0.987778
1.005, 0.320553, 1.21011, 0.944039
0.90122, 0.290175, 1.1312, 0.893772
0.835072, 0.22563, 1.07661, 0.800543
0.927322, 0.190262, 1.09215, 0.906295
0.927322, 0.190262, 1.09215, 0.906295
0.817496, 0.140306, 1.0263, 0.944876
0.856936, 0.112561, 1.06144, 0.93432
0.902307, 0.215706, 1.01121, 0.902365
0.89172, 0.188869, 1.03316, 0.890312
0.763015, 0.107813, 1.08216, 0.806842
0.74563, 0.202073, 1.06554, 0.860355
0.848309, 0.270467, 1.10705, 0.80573
0.77162, 0.238309, 1.01175, 0.777242
0.716735, 0.306147, 0.914896, 0.798057
0.765435, 0.295021, 0.884299, 0.802843
0.769239, 0.306507, 0.986595, 0.853023
0.704802, 0.289619, 1.01607, 0.783727
0.750972, 0.27263, 1.05861, 0.757706
0.750972, 0.27263, 1.05861, 0.757706
0.750972, 0.27263, 1.05861, 0.757706
0.750972, 0.27263, 1.05861, 0.757706
0.710087, 0.216356, 0.961367, 0.746115
0.712854, 0.172778, 0.974903, 0.802133
0.797844, 0.345555, 0.959019, 0.822093
0.899685, 0.270984, 0.987605, 0.892488
0.893893, 0.277894, 0.987679, 0.916133
0.858742, 0.217719, 1.00981, 0.933956
0.830311, 0.268442, 1.09772, 0.831308
0.841609, 0.28942, 1.05072, 0.891373
0.794809, 0.159841, 1.00577, 0.921978
0.743758, 0.162816, 0.865245, 0.941642
0.756149, 0.169901, 0.908975, 0.928396
0.774749, 0.142933, 0.912735, 0.879666
0.779023, 0.190676, 1.00808, 0.889914
0.885149, 0.115314, 1.0784, 0.885894
0.866362, 0.105649, 1.05965, 0.906116
0.792217, 0.112863, 0.982256, 0.949273
0.828689, 0.132647, 0.965039, 0.980086
0.912694, 0.113449, 0.994714, 0.995946
0.903119, 0.146114, 1.08491, 0.943718
0.903119, 0.146114, 1.08491, 0.943718
0.80651, 0.194713, 0.98083, 0.936422
0.821231, 0.256165, 0.952372, 0.924463
0.778426, 0.232694, 1.07986, 0.712989
0.764198, 0.231459, 1.08698, 0.700883
0.816737, 0.287525, 1.09976, 0.789044
0.962981, 0.214344, 1.17405, 0.884662
0.847297, 0.17473, 1.13378, 0.875974
0.847297, 0.17473, 1.13378, 0.875974
0.797439, 0.200582, 1.03488, 0.86903
0.857273, 0.226518, 1.06882, 0.86117
0.876065, 0.22065, 1.06987, 0.850689
0.883581, 0.229873, 1.07311, 0.859073
0.860181, 0.270734, 0.974528, 0.89502
0.815596, 0.215883, 0.977934, 0.881114
0.828966, 0.117278, 0.980968, 0.898826
0.896982, 0.133864, 0.967262, 0.981859
0.848918, 0.138844, 1.02795, 0.942188
0.80573, 0.108163, 1.00979, 0.993792
0.840775, 0.158401, 1.02647, 0.856381
0.840775, 0.158401, 1.02647, 0.856381
0.840775, 0.158401, 1.02647, 0.856381
0.840775, 0.158401, 1.02647, 0.856381
0.884525, 0.154675, 0.979881, 0.950404
0.874883, 0.102225, 1.05935, 0.920874
0.874883, 0.102225, 1.05935, 0.920874
0.874883, 0.102225, 1.05935, 0.920874
0.874883, 0.102225, 1.05935, 0.920874
0.867436, 0.161743, 1.05093, 0.928043
0.870053, 0.180707, 1.05498, 0.929662
0.93845, 0.166925, 1.15545, 0.931146
0.900794, 0.113789, 1.11308, 0.866309
0.900794, 0.113789, 1.11308, 0.866309
0.882166, 0.163884, 1.10042, 0.928029
0.943202, 0.144684, 1.12621, 0.942073
1.01826, 0.238627, 1.12953, 0.939598
0.983728, 0.195533, 1.12657, 1.01025
1.0033, 0.12833, 1.08779, 1.08135
