'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.797125,0.736872,0.831461,0.661508
0.816606,0.702438,0.825761,0.691084
0.824046,0.730417,0.867299,0.716411
0.798597,0.78753,0.962174,0.65171
0.815201,0.807713,0.976552,0.692384
0.803905,0.831699,0.895645,0.675148
0.793335,0.824364,0.922613,0.665392
0.801201,0.839495,0.896769,0.675787
0.818662,0.782939,0.859216,0.707139
0.79221,0.722108,0.863733,0.671368
0.79221,0.722108,0.863733,0.671368
0.749822,0.761197,0.859949,0.650476
0.804181,0.773488,0.89676,0.664366
0.799317,0.762434,0.920844,0.673315
0.815515,0.760636,0.914962,0.680481
0.809936,0.727118,0.949449,0.68415
0.872024,0.726205,1.02945,0.703934
0.858928,0.658978,0.901604,0.681745
0.82552,0.617392,0.899286,0.654974
0.818314,0.567236,0.911953,0.641224
0.831661,0.570347,0.8909,0.659816
0.826381,0.586456,0.912607,0.642258
0.799054,0.607557,0.877676,0.640119
0.836626,0.583076,0.902416,0.642077
0.753688,0.6145,0.883711,0.602272
0.774075,0.627519,0.863785,0.635763
0.736972,0.669338,0.787608,0.627969
0.721462,0.753179,0.797664,0.643365
0.791447,0.802689,0.848431,0.729349
0.791447,0.802689,0.848431,0.729349
0.810078,0.804617,0.892076,0.692696
0.797798,0.779916,0.895893,0.677765
0.804356,0.840119,0.900941,0.676468
0.772424,0.847669,0.89574,0.660315
0.810068,0.872725,0.894165,0.677114
0.835327,0.843069,0.928507,0.724191
0.830088,0.819328,0.912394,0.6886
0.831435,0.816289,0.882831,0.717313
0.764302,0.843363,0.861518,0.677165
0.792238,0.868816,0.804105,0.711752
0.792238,0.868816,0.804105,0.711752
0.792238,0.868816,0.804105,0.711752
0.764817,0.93124,0.832015,0.721814
0.761957,0.943609,0.810091,0.689748
0.764807,0.956853,0.790912,0.729084
0.793304,0.952832,0.869801,0.717116
0.829936,0.923178,0.894086,0.744852
0.79164,0.886717,0.912748,0.662814
0.765456,0.85908,0.91726,0.650063
0.757691,0.865429,0.908878,0.627568
0.779799,0.87204,0.873484,0.701896
0.77466,0.910778,0.837359,0.677715
0.805754,0.912856,0.825462,0.779285
0.837256,0.965681,0.806167,0.814967
0.837256,0.965681,0.806167,0.814967
0.796679,0.990734,0.817946,0.769576
0.82994,0.995753,0.862618,0.751848
0.809078,1.06566,0.842713,0.752626
0.797569,1.0396,0.787626,0.767741
0.805411,1.01966,0.757717,0.80477
0.805411,1.01966,0.757717,0.80477
0.8015,1.04843,0.834067,0.759137
0.772384,1.0367,0.85657,0.738075
0.787206,1.06178,0.835464,0.734763
0.804642,0.985879,0.84755,0.755803
0.805654,0.947576,0.868076,0.745673
0.800938,0.964426,0.836309,0.747799
0.802244,0.950101,0.840159,0.758279
0.794615,0.963059,0.849552,0.741602
0.78263,0.984464,0.863556,0.741372
0.766618,0.979691,0.885442,0.677958
0.752192,0.99138,0.872926,0.680196
0.763726,0.963346,0.876044,0.658594
0.726602,0.957422,0.817854,0.665345
0.722041,0.906272,0.889624,0.609011
0.739649,0.905011,0.896531,0.630869
0.739649,0.905011,0.896531,0.630869
0.758445,0.917039,0.897579,0.655825
0.752873,1.02075,0.970518,0.629873
0.712196,1.04575,0.929384,0.634999
0.704038,1.05397,0.944497,0.600579
0.715908,1.04787,0.95673,0.626123
0.749253,0.969699,0.927927,0.626298
0.74839,1.0109,0.987825,0.651461
0.755322,0.979308,1.08526,0.687726
0.765424,0.896526,1.0825,0.664092
0.748933,0.944371,1.05477,0.646123
0.76326,0.999676,1.05632,0.662419
0.782235,1.02058,1.06299,0.699392
0.807308,0.966609,1.02693,0.695774
0.780199,0.912335,1.07161,0.683033
0.785419,0.896788,1.06789,0.677629
0.771663,0.878506,1.10527,0.679005
0.770929,0.885376,1.08483,0.687697
0.780442,0.858781,1.02688,0.666332
0.832839,0.841094,1.05459,0.710218
0.810258,0.860285,1.07005,0.698028
0.810258,0.860285,1.07005,0.698028
0.80223,0.832977,1.0476,0.672177
0.819018,0.739897,1.09071,0.678502
0.806383,0.837739,1.07343,0.710319
0.832213,0.796167,1.06146,0.706675
0.889169,0.743229,1.06571,0.722339
0.911733,0.826009,1.06425,0.723283
0.922162,0.919286,1.02448,0.765241
0.998901,0.916088,1.00337,0.800292
0.930775,0.920661,0.971392,0.795744
0.960755,0.86115,0.998355,0.78507
0.954116,0.85446,1.01677,0.787952
0.935779,0.871432,0.963204,0.770566
0.918462,0.907702,0.916477,0.810715
0.902848,0.876751,0.975044,0.80507
0.834512,0.932813,0.910584,0.713938
0.817942,0.947893,0.938237,0.710594
0.839669,0.927393,0.908947,0.754049
0.861423,0.968173,0.975953,0.788504
0.868666,0.938407,0.910093,0.749659
0.846703,0.928536,0.967514,0.719972
0.846703,0.928536,0.967514,0.719972
0.808665,0.905145,0.959598,0.71723
0.804908,0.910769,0.935661,0.742328
0.862522,0.919419,1.01033,0.725116
0.831137,0.873307,0.933258,0.725249
0.775861,0.831133,0.931962,0.704002
0.772629,0.863821,0.969232,0.696138
0.784385,0.736013,0.945782,0.639814
0.802096,0.739269,0.924155,0.669476
0.823238,0.76722,0.942311,0.68225
0.769571,0.753955,0.963188,0.650432
0.802929,0.744139,0.946949,0.680605
0.811998,0.677786,0.94297,0.667176
0.792063,0.704173,0.937633,0.589456
0.773007,0.655542,1.0037,0.581051
0.788147,0.687504,0.887893,0.606353
0.824574,0.678019,0.915765,0.641038
0.824574,0.678019,0.915765,0.641038
0.846441,0.710752,0.849164,0.688577
0.848458,0.73829,0.89251,0.688367
0.795307,0.711577,0.852176,0.66072
0.810738,0.741735,0.877256,0.671419
0.771553,0.789663,0.859157,0.660857
0.795809,0.810729,0.876024,0.684853
0.825622,0.781909,0.839715,0.698852
0.811448,0.812391,0.836907,0.733484
0.828686,0.856675,0.847449,0.71989
0.826518,0.830003,0.861215,0.720197
0.838794,0.85094,0.879895,0.748167
0.839666,0.889404,0.875746,0.749719
0.847884,0.880325,0.813496,0.770922
0.856495,0.862416,0.814584,0.791446
0.82349,0.80211,0.811827,0.718251
0.801724,0.814759,0.845014,0.747
0.804454,0.816813,0.801253,0.722635
0.810084,0.759545,0.808269,0.711146
0.745408,0.773445,0.746517,0.707205
0.775508,0.79164,0.803849,0.688454
0.752158,0.774417,0.789979,0.689653
0.747096,0.814489,0.825203,0.672457
0.747553,0.854228,0.889342,0.672186
0.767541,0.865366,0.978827,0.634192
0.746561,0.825416,0.975982,0.64779
0.760438,0.820574,0.952454,0.619274
0.745984,0.825107,0.972137,0.620338
0.758183,0.869505,0.907779,0.655208
0.762757,0.842475,0.888024,0.671573
0.762757,0.842475,0.888024,0.671573
0.78231,0.878499,0.999341,0.686688
0.837349,0.856163,1.04762,0.733523
0.877418,0.810498,1.01935,0.711275
0.845173,0.872824,1.10188,0.729351
0.882169,0.829557,1.05163,0.774344
0.857313,0.87802,1.01575,0.762519
