'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.691646,1.94964,1.49426,1.35946
0.685235,1.96607,1.54553,1.33892
0.688107,1.99241,1.50973,1.30836
0.697355,1.95879,1.54329,1.3165
0.701553,1.96905,1.54082,1.3077
0.682534,1.94682,1.55356,1.31285
0.689443,1.97958,1.54708,1.30857
0.689443,1.97958,1.54708,1.30857
0.689443,1.97958,1.54708,1.30857
0.689443,1.97958,1.54708,1.30857
0.689443,1.97958,1.54708,1.30857
0.666065,1.98041,1.5692,1.346
0.673615,1.98627,1.59438,1.31249
0.697545,1.95249,1.55071,1.33973
0.696302,1.86801,1.54137,1.32374
0.686153,1.82791,1.58367,1.31366
0.688521,1.95074,1.51022,1.35311
0.725147,1.98793,1.47845,1.35232
0.735401,1.9899,1.41827,1.3785
0.735401,1.9899,1.41827,1.3785
0.741038,1.96183,1.43119,1.33356
0.722275,1.97874,1.47177,1.3129
0.782458,1.99066,1.45122,1.27435
0.795633,1.96436,1.41893,1.27195
0.786793,1.97063,1.41169,1.2628
0.789288,1.98379,1.43379,1.23945
0.781698,1.98404,1.42428,1.23758
0.781698,1.98404,1.42428,1.23758
0.760285,1.94417,1.39229,1.24114
0.771268,1.92995,1.34755,1.22864
0.790467,1.88534,1.37801,1.21119
0.801724,1.84746,1.40731,1.19113
0.763409,1.74894,1.43331,1.06628
0.806016,1.7901,1.41086,1.09204
0.792067,1.78386,1.44329,1.08185
0.75398,1.77667,1.46683,1.10372
0.769386,1.79057,1.47802,1.13526
0.767485,1.7615,1.48252,1.10336
0.767485,1.7615,1.48252,1.10336
0.738123,1.72857,1.46256,1.10655
0.734732,1.73305,1.4889,1.08711
0.727302,1.7258,1.51527,1.18392
0.690474,1.72526,1.49171,1.18088
0.731405,1.72545,1.46776,1.14315
0.703454,1.70915,1.48968,1.18118
0.709336,1.71877,1.50878,1.16278
0.721789,1.71384,1.469,1.17392
0.725802,1.68579,1.49061,1.17901
0.727594,1.72465,1.43462,1.19387
0.719945,1.75102,1.50432,1.16801
0.70342,1.75566,1.53043,1.23376
0.702149,1.79441,1.51773,1.23349
0.719546,1.83626,1.47757,1.263
0.709168,1.8047,1.49093,1.28262
0.710527,1.80271,1.50588,1.27899
0.707508,1.6739,1.4586,1.23651
0.724798,1.6886,1.44907,1.2036
0.701683,1.59919,1.51034,1.18616
0.691621,1.59878,1.5544,1.16027
0.691665,1.61886,1.46707,1.17978
0.703327,1.73078,1.49997,1.18095
0.701536,1.69459,1.48377,1.20652
0.695577,1.67744,1.5466,1.15698
0.686318,1.68118,1.49682,1.21023
0.70983,1.67944,1.50253,1.18359
0.693618,1.68994,1.48863,1.17972
