 51.500: -7.169e-04  -2.678e-03   1.037e-02   3.793e-03
 52.500: -7.277e-04  -1.194e-03   1.035e-02   4.000e-03
 53.500: -7.442e-04  -3.867e-04   1.005e-02   4.005e-03
 54.500: -7.829e-04  -1.454e-04   9.430e-03   3.908e-03
 55.500: -8.457e-04  -1.032e-04   8.604e-03   3.817e-03
 56.500: -9.194e-04   9.136e-05   7.751e-03   3.794e-03
 57.500: -9.848e-04   5.404e-04   7.032e-03   3.835e-03
 58.500: -1.027e-03   1.048e-03   6.499e-03   3.883e-03
 59.500: -1.042e-03   1.284e-03   6.070e-03   3.878e-03
 60.500: -1.034e-03   1.029e-03   5.582e-03   3.796e-03
 61.500: -1.009e-03   3.384e-04   4.880e-03   3.664e-03
 62.500: -9.742e-04  -4.943e-04   3.906e-03   3.536e-03
 63.500: -9.326e-04  -1.126e-03   2.722e-03   3.457e-03
 64.500: -8.860e-04  -1.357e-03   1.483e-03   3.435e-03
 65.500: -8.359e-04  -1.201e-03   3.633e-04   3.443e-03
 66.500: -7.848e-04  -7.997e-04  -5.148e-04   3.451e-03
 67.500: -7.370e-04  -2.895e-04  -1.116e-03   3.456e-03
 68.500: -6.972e-04   2.696e-04  -1.482e-03   3.489e-03
 69.500: -6.686e-04   8.512e-04  -1.697e-03   3.588e-03
 70.500: -6.497e-04   1.382e-03  -1.839e-03   3.747e-03
 71.500: -6.343e-04   1.729e-03  -1.959e-03   3.888e-03
 72.500: -6.138e-04   1.799e-03  -2.074e-03   3.874e-03
 73.500: -5.833e-04   1.665e-03  -2.186e-03   3.569e-03
 74.500: -5.465e-04   1.595e-03  -2.290e-03   2.909e-03
 75.500: -5.148e-04   1.906e-03  -2.387e-03   1.949e-03
 76.500: -5.014e-04   2.724e-03  -2.475e-03   8.505e-04
 77.500: -5.107e-04   3.826e-03  -2.550e-03  -1.919e-04
 78.500: -5.334e-04   4.723e-03  -2.597e-03  -1.040e-03
 79.500: -5.488e-04   4.938e-03  -2.591e-03  -1.671e-03
 80.500: -5.358e-04   4.326e-03  -2.504e-03  -2.170e-03
 81.500: -4.840e-04   3.185e-03  -2.311e-03  -2.659e-03
 82.500: -3.994e-04   2.079e-03  -1.990e-03  -3.209e-03
 83.500: -2.990e-04   1.492e-03  -1.528e-03  -3.784e-03
 84.500: -1.996e-04   1.557e-03  -9.306e-04  -4.242e-03
 85.500: -1.079e-04   2.047e-03  -2.204e-04  -4.405e-03
 86.500: -1.900e-05   2.603e-03   5.554e-04  -4.142e-03
 87.500:  7.747e-05   3.018e-03   1.335e-03  -3.435e-03
 88.500:  1.875e-04   3.344e-03   2.061e-03  -2.385e-03
 89.500:  3.069e-04   3.748e-03   2.699e-03  -1.166e-03
