'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.388561,0.767953,1.56209,0.647702,0.606865,-0.803894,1.736,0.733678
0.379553,0.768186,1.57405,0.655953,0.60071,-0.815741,1.71832,0.726488
0.383355,0.771347,1.57867,0.656332,0.593113,-0.82724,1.72431,0.726324
0.367138,0.753765,1.57445,0.654267,0.585012,-0.829854,1.7334,0.730866
0.374443,0.758334,1.58386,0.645067,0.58495,-0.823802,1.72721,0.732759
0.363859,0.753266,1.56144,0.645753,0.576137,-0.832599,1.72063,0.718021
0.366337,0.765965,1.55099,0.653774,0.589147,-0.839902,1.73196,0.717636
0.353586,0.759489,1.54605,0.648533,0.590146,-0.854685,1.73007,0.716381
0.361259,0.767887,1.54141,0.65559,0.580017,-0.848752,1.73127,0.718022
0.372919,0.773522,1.55169,0.664426,0.577699,-0.856484,1.71813,0.707731
0.367926,0.774993,1.57334,0.663077,0.591502,-0.843407,1.71867,0.719514
0.376755,0.771785,1.56653,0.653402,0.581934,-0.862943,1.72357,0.718214
0.352022,0.768404,1.55959,0.64291,0.578818,-0.856159,1.72515,0.72577
0.351191,0.747746,1.56286,0.63105,0.578311,-0.86401,1.74322,0.73044
0.358125,0.7616,1.54669,0.639622,0.565898,-0.864453,1.73072,0.732365
0.35897,0.761446,1.54367,0.650227,0.56389,-0.856526,1.7305,0.719342
0.375032,0.752029,1.5348,0.630445,0.574785,-0.869723,1.72907,0.713641
0.378457,0.766051,1.54496,0.612787,0.579635,-0.873619,1.72599,0.727604
0.359318,0.764898,1.55838,0.620475,0.56443,-0.88869,1.72615,0.732409
0.359018,0.76195,1.55931,0.640994,0.571906,-0.881657,1.73513,0.730648
0.361816,0.772245,1.55734,0.644909,0.570832,-0.879002,1.72785,0.73208
0.358745,0.771672,1.55828,0.643836,0.571243,-0.879492,1.72878,0.727803
0.352911,0.764274,1.55627,0.639529,0.563193,-0.889912,1.7295,0.733543
0.352911,0.764274,1.55627,0.639529,0.563193,-0.889912,1.7295,0.733543
0.350892,0.755129,1.55319,0.639114,0.56003,-0.892583,1.73976,0.729811
0.358168,0.753257,1.54943,0.647254,0.554067,-0.890906,1.73071,0.7384
0.358168,0.753257,1.54943,0.647254,0.554067,-0.890906,1.73071,0.7384
0.343859,0.74018,1.57272,0.632543,0.541539,-0.881992,1.72519,0.743415
0.338051,0.72402,1.56872,0.629301,0.54281,-0.889538,1.71582,0.729313
0.349798,0.740162,1.56343,0.626494,0.535404,-0.874232,1.70485,0.710602
0.350536,0.735295,1.574,0.626127,0.53773,-0.872617,1.70541,0.717448
