0.16 1402.34 74.1767 -59.2714 538.37 2510.82 -1.99081 -52.0444 662.556 216.788 25.5088 -280.999 99.5094 265.548 -5.20982 -154.048 775.821 771.951 45.9214 -383.575 757.413 2474.25 -265.28 -187.192 589.842 1732.7 -102.608 -79.1704 1039.06 2015.39 -23.6847 -330.92 687.28 1283.57 38.7586 -194.699 495.864 2037.97 -521.147 -580.797 1582.28 1459.99 -34.8088 -261.717 938.241 639.284 -698.413 -184.043 548.027 1824.52 -198.338 -199.544 52.4042 937.815 -33.5758 -390.225 1780.58 3530.35 -39.382 -481.672 484.029 2587.3 -23.3497 -260.041 1084.27 1837.33 136.434 -262.812 47.9572 2923.28 -119.284 -583.46 323.897 960.727 35.847 -214.574 602.869 1517.24 69.4815 -271.67 1358.28 
0.176 1366.23 72.282 -58.6078 538.084 2318 -2.81171 -52.3289 662.983 215.521 20.7492 -280.652 52.6291 263.952 -13.3317 -152.654 753.575 765.602 44.9365 -383.15 732.457 2445.02 -255.609 -187.154 587.119 1727.23 -102.368 -78.5928 979.485 1993.59 -23.9318 -325.139 633.787 1280.04 38.1873 -194.617 484.404 2014.61 -522.615 -579.163 1545.95 1445.68 -11.7172 -261.405 829.034 646.737 -636.064 -184.033 551.569 1806.35 -195.934 -174.457 55.451 949.841 -34.0391 -388.911 1777.48 3466.88 -42.0737 -481.107 480.952 2528.03 -9.27671 -255.065 1083.56 1829.15 132.405 -261.863 49.5807 2746.89 -119.415 -581.8 296.299 976.549 35.7547 -213.929 598.541 1513.69 81.6297 -271.334 1356.18 
0.192 1328.08 70.2241 -57.8864 537.771 2130.6 -3.70282 -52.6149 663.437 214.137 15.8886 -280.273 13.2615 262.208 -21.6925 -151.144 730.32 758.719 43.8675 -382.686 706.383 2413.64 -245.363 -187.112 584.161 1721.26 -102.105 -77.9643 920.153 1970.06 -24.2014 -318.989 581.3 1276.19 37.5657 -194.528 472.22 1989.4 -524.153 -577.381 1507.47 1430.27 8.52132 -261.063 730.071 654.36 -577.313 -184.022 555.35 1786.69 -193.334 -152.194 58.7475 961.919 -34.5443 -387.479 1774.1 3399.24 -44.9675 -480.489 477.618 2465.46 3.53545 -249.759 1082.59 1820.09 128.065 -260.83 51.3495 2572.67 -119.558 -579.99 269.317 989.334 35.6538 -213.225 593.859 1509.8 90.1611 -270.967 1353.88 
0.208 1288.22 68.0074 -57.1086 537.431 1950.87 -4.66207 -52.8967 663.914 212.637 10.9918 -279.861 -18.8711 260.318 -30.1871 -149.521 706.273 751.319 42.7168 -382.183 679.446 2380.27 -234.621 -187.066 580.973 1714.79 -101.821 -77.2858 861.804 1944.87 -24.4933 -312.507 530.517 1272.02 36.8951 -194.431 459.397 1962.43 -525.746 -575.454 1467.14 1413.81 25.795 -260.693 641.423 662.04 -522.596 -184.01 559.345 1765.6 -190.546 -132.598 62.2833 973.832 -35.091 -385.93 1770.44 3327.85 -48.0497 -479.818 474.039 2400.11 14.9324 -244.16 1081.32 1810.14 123.433 -259.715 53.2611 2402.66 -119.711 -578.033 243.319 998.654 35.5444 -212.463 588.838 1505.59 95.4801 -270.568 1351.4 
0.224 1246.93 65.6368 -56.2759 537.063 1780.41 -5.68723 -53.1692 664.411 211.023 6.11903 -279.418 -44.3309 258.282 -38.7151 -147.791 681.647 743.422 41.4872 -381.641 651.888 2345.06 -223.461 -187.016 577.564 1707.84 -101.515 -76.5585 805.034 1918.11 -24.8071 -305.736 481.984 1267.53 36.1765 -194.325 446.019 1933.81 -527.375 -573.384 1425.27 1396.38 40.143 -260.295 562.715 669.663 -472.11 -183.996 563.529 1743.16 -187.577 -115.45 66.0473 985.373 -35.6784 -384.268 1766.49 3253.16 -51.3062 -479.096 470.222 2332.47 24.841 -238.3 1079.71 1799.28 118.527 -258.52 55.3127 2238.44 -119.875 -575.93 218.585 1004.23 35.4266 -211.644 583.493 1501.06 98.0643 -270.138 1348.72 
0.24 1204.53 63.1173 -55.3899 536.668 1620.23 -6.77594 -53.4269 664.923 209.295 1.32502 -278.943 -63.8417 256.103 -47.1823 -145.957 656.641 735.049 40.1815 -381.06 623.943 2308.17 -211.963 -186.961 573.939 1700.42 -101.187 -75.7836 750.303 1889.88 -25.1426 -298.716 436.095 1262.73 35.4113 -194.212 432.171 1903.64 -529.024 -571.173 1382.16 1378.05 51.7148 -259.867 493.294 677.122 -425.868 -183.981 567.876 1719.41 -184.439 -100.5 70.0278 996.346 -36.3059 -382.493 1762.27 3175.61 -54.7222 -478.322 466.178 2263.01 33.2549 -232.215 1077.73 1787.5 113.368 -257.246 57.5015 2081.17 -120.05 -573.685 195.316 1005.93 35.3004 -210.77 577.841 1496.2 98.4061 -269.677 1345.86 
0.256 1161.3 60.4543 -54.4523 536.246 1470.87 -7.92573 -53.665 665.447 207.455 -3.34139 -278.436 -78.1944 253.781 -55.5021 -144.025 631.439 726.22 38.8028 -380.44 595.827 2269.75 -200.203 -186.903 570.106 1692.51 -100.839 -74.9624 697.951 1860.28 -25.4995 -291.487 393.113 1257.63 34.6008 -194.092 417.939 1872.02 -530.673 -568.825 1338.11 1358.88 60.7329 -259.412 432.362 684.313 -383.758 -183.965 572.358 1694.45 -181.139 -87.5002 74.2126 1006.57 -36.9728 -380.608 1757.78 3095.62 -58.2824 -477.496 461.919 2192.2 40.2199 -225.938 1075.34 1774.81 107.975 -255.896 59.8246 1931.61 -120.234 -571.299 173.643 1003.75 35.1659 -209.84 571.898 1491.03 96.9737 -269.185 1342.8 
0.272 1117.51 57.6535 -53.4648 535.797 1332.51 -9.13399 -53.8788 665.977 205.504 -7.83792 -277.898 -88.1802 251.319 -63.5963 -142 606.212 716.957 37.354 -379.782 567.739 2229.98 -188.258 -186.84 566.072 1684.15 -100.469 -74.0962 648.209 1829.4 -25.8774 -284.088 353.185 1252.22 33.7464 -193.963 403.403 1839.07 -532.306 -566.341 1293.38 1338.94 67.4621 -258.929 379.06 691.14 -345.58 -183.947 576.949 1668.34 -177.688 -76.2103 78.5891 1015.89 -37.6784 -378.616 1753.02 3013.63 -61.9712 -476.62 457.455 2120.48 45.8195 -219.503 1072.5 1761.19 102.37 -254.472 62.2786 1790.26 -120.429 -568.776 153.634 997.77 35.0232 -208.856 565.682 1485.55 94.189 -268.662 1339.56 
0.288 1073.43 54.7206 -52.4294 535.32 1205.03 -10.398 -54.0638 666.51 203.444 -12.1289 -277.33 -94.5473 248.718 -71.3961 -139.886 581.112 707.283 35.8385 -379.087 539.86 2189.01 -176.2 -186.773 561.846 1675.33 -100.078 -73.1865 601.216 1797.35 -26.2759 -276.557 316.364 1246.5 32.8496 -193.827 388.645 1804.9 -533.903 -563.725 1248.25 1318.31 72.1849 -258.418 332.536 697.513 -311.083 -183.928 581.619 1641.16 -174.096 -66.4118 83.1442 1024.15 -38.4218 -376.52 1747.99 2930.05 -65.7729 -475.693 452.797 2048.27 50.1622 -212.944 1069.19 1746.66 96.5738 -252.976 64.8602 1657.31 -120.632 -566.119 135.307 988.185 34.8724 -207.818 559.208 1479.75 90.4171 -268.109 1336.14 
0.304 1029.31 51.6619 -51.3479 534.816 1088.09 -11.715 -54.2163 667.042 201.275 -16.1854 -276.73 -97.9752 245.979 -78.8421 -137.689 556.277 697.222 34.2597 -378.354 512.352 2146.99 -164.099 -186.701 557.436 1666.06 -99.6675 -72.2346 557.035 1764.22 -26.6946 -268.931 282.624 1240.5 31.9118 -193.682 373.74 1769.61 -535.448 -560.98 1202.97 1297.05 75.1841 -257.879 291.978 703.353 -279.99 -183.906 586.342 1612.98 -170.374 -57.9084 87.8646 1031.25 -39.2023 -374.32 1742.71 2845.29 -69.6714 -474.716 447.958 1975.95 53.3715 -206.292 1065.38 1731.22 90.6085 -251.41 67.5659 1532.8 -120.845 -563.33 118.638 975.244 34.7136 -206.729 552.496 1473.65 85.9643 -267.525 1332.54 
