'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
0.320357,-0.054977,1.37614,1.34715
0.320357,-0.054977,1.37614,1.34715
0.429619,0.0388143,1.33061,1.38346
0.36327,-0.0297545,1.30156,1.33183
0.36327,-0.0297545,1.30156,1.33183
0.36327,-0.0297545,1.30156,1.33183
0.335962,0.0575812,1.26181,1.36696
0.335962,0.0575812,1.26181,1.36696
0.331362,0.0357419,1.42847,1.34387
0.331362,0.0357419,1.42847,1.34387
0.331362,0.0357419,1.42847,1.34387
0.347469,-0.0447224,1.40625,1.39486
0.347469,-0.0447224,1.40625,1.39486
0.378849,-0.0147886,1.30564,1.33241
0.378849,-0.0147886,1.30564,1.33241
0.491522,-0.130103,1.27731,1.4091
0.502778,-0.189684,1.25031,1.35177
0.502778,-0.189684,1.25031,1.35177
0.56618,-0.113705,1.10553,1.56623
0.572373,-0.151577,1.05975,1.42708
0.572373,-0.151577,1.05975,1.42708
0.635854,-0.154765,1.01763,1.61548
0.716591,-0.201722,0.945226,1.64377
0.716591,-0.201722,0.945226,1.64377
0.716591,-0.201722,0.945226,1.64377
0.720755,-0.131574,0.978388,1.64483
0.720755,-0.131574,0.978388,1.64483
0.675171,-0.237126,1.09001,1.53635
0.675171,-0.237126,1.09001,1.53635
0.873369,-0.381158,1.07622,1.69688
0.873369,-0.381158,1.07622,1.69688
0.873369,-0.381158,1.07622,1.69688
0.873369,-0.381158,1.07622,1.69688
0.994628,-0.247617,1.24615,1.66967
1.03436,-0.200842,1.07321,1.64053
1.03436,-0.200842,1.07321,1.64053
1.03445,-0.266268,1.07673,1.57404
1.03445,-0.266268,1.07673,1.57404
1.12064,-0.301786,1.09276,1.54939
1.12586,-0.354805,1.14051,1.69487
1.04768,-0.246377,1.20964,1.72102
0.992778,-0.376047,1.14825,1.66771
1.03529,-0.336832,1.27044,1.63656
1.03529,-0.336832,1.27044,1.63656
1.03529,-0.336832,1.27044,1.63656
0.989713,-0.361532,1.28051,1.50965
1.06084,-0.336759,1.38305,1.54451
1.06084,-0.336759,1.38305,1.54451
1.06084,-0.336759,1.38305,1.54451
1.11102,-0.246301,1.4493,1.42875
1.17283,-0.282741,1.55639,1.44672
1.17283,-0.282741,1.55639,1.44672
1.0696,-0.309502,1.48105,1.34046
1.08601,-0.357779,1.52041,1.38979
1.08601,-0.357779,1.52041,1.38979
1.10639,-0.312574,1.56732,1.31768
1.12582,-0.441535,1.54088,1.37604
1.12582,-0.441535,1.54088,1.37604
1.07405,-0.4617,1.67315,1.47269
1.09532,-0.444792,1.40686,1.38408
1.06255,-0.505391,1.5501,1.43168
1.04825,-0.463325,1.54189,1.38342
1.04825,-0.463325,1.54189,1.38342
1.04825,-0.463325,1.54189,1.38342
0.996683,-0.504517,1.53016,1.44357
1.0453,-0.530122,1.6025,1.51196
1.08023,-0.531536,1.58751,1.36378
1.08023,-0.531536,1.58751,1.36378
1.17008,-0.52189,1.65943,1.36781
1.05332,-0.590958,1.63791,1.37828
1.05332,-0.590958,1.63791,1.37828
1.05332,-0.590958,1.63791,1.37828
1.05332,-0.590958,1.63791,1.37828
1.05332,-0.590958,1.63791,1.37828
1.05332,-0.590958,1.63791,1.37828
1.14433,-0.538411,1.59896,1.3756
1.13692,-0.250718,1.5244,1.4556
1.1177,-0.245787,1.58483,1.63194
1.1177,-0.245787,1.58483,1.63194
1.1177,-0.245787,1.58483,1.63194
1.07405,-0.307433,1.57808,1.63291
1.07405,-0.307433,1.57808,1.63291
1.11862,-0.284587,1.56464,1.45837
1.13814,-0.0548614,1.5813,1.47656
1.13814,-0.0548614,1.5813,1.47656
1.13814,-0.0548614,1.5813,1.47656
1.13814,-0.0548614,1.5813,1.47656
